BarrierID,Status,LastUpdate,Type,BarrierCk,CheckType,BarrierCk2,CheckType2,Descrip,Redev,long,lat
258,closed,09/21/18,complete,07/17,google maps,NA,NA,"5000-block of Wells Ave, mid-block",FALSE,-90.26250141151537,38.66251436194572
259,closed,09/21/18,complete,NA,google satellite,NA,NA,5900-block of Emma Ave at Park Ln,FALSE,-90.25370798818912,38.705361698716644
260,closed,09/21/18,complete,07/21/17,in-person,NA,NA,6100-block of Garesche Ave at Mimika Ave,FALSE,-90.25797754381423,38.70420383515953
262,closed,09/21/18,complete,08/17,google maps,NA,NA,6100-block of Lalite Ave at Mimika Ave,FALSE,-90.25899674071509,38.70278188521526
29,unknown,04/06/18,NA,07/17,google maps,NA,NA,NA,NA,-90.22253415298542,38.65797329735516
68,unknown,04/06/18,NA,NA,NA,NA,NA,NA,NA,-90.20395200008473,38.65577999964631
77,closed,09/21/18,complete,07/17,google maps,NA,NA,2600-block of Caroline St at South Jefferson Ave,FALSE,-90.22031135861378,38.61905101521402
85,closed,09/21/18,complete,05/26/17,in-person,NA,NA,3200-block of Geyer Ave at South Compton Ave,FALSE,-90.23286199455231,38.61438121401206
88,closed,09/21/18,complete,05/29/17,in-person,NA,NA,2900-block of Geyer Ave at Nebraska Ave,FALSE,-90.22834575297203,38.613823600064045
109,closed,09/21/18,complete,05/26/17,in-person,NA,NA,1900-block of Virginia Ave at Russell Blvd,FALSE,-90.23426706740604,38.61284624101844
110,open,04/06/18,NA,07/17,google maps,NA,NA,NA,NA,-90.2246112021024,38.6096508251694
111,closed,09/21/18,complete,05/29/17,in-person,NA,NA,"2600-block of Accomac St, mid-block",FALSE,-90.22294394737939,38.609451812836944
112,closed,09/21/18,complete,05/29/17,in-person,NA,NA,2830-block of Accomac St at Oregon Ave,FALSE,-90.22794015702729,38.61007683512229
116,open,04/06/18,NA,07/17,google maps,NA,NA,NA,NA,-90.20264132507452,38.601531431595106
123,closed,09/21/18,complete,06/22/17,in-person,NA,NA,1400-block of Menard St at Park Ave,FALSE,-90.20243200013665,38.61388000006102
125,closed,09/21/18,complete,06/22/17,in-person,NA,NA,1100-block of Rutger St at South Tucker Blvd,FALSE,-90.20314099955745,38.61506499984891
126,open,04/06/18,NA,05/17,google maps,NA,NA,NA,NA,-90.1910829251342,38.62584114008659
241,closed,09/21/18,complete,08/11,google maps,NA,NA,5600-block of Cates Ave at Ruth C. Porter Mall,FALSE,-90.28346821309171,38.6574195743449
244,closed,09/21/18,complete,09/14,google maps,NA,NA,"841-block of Clara Ave, mid-block",FALSE,-90.28154689056989,38.6576833737565
261,closed,09/21/18,complete,07/21/17,in-person,NA,NA,5700-block of Henner Ave at Riverview Blvd,FALSE,-90.26140455301874,38.69645164648642
263,closed,09/21/18,complete,10/11,google maps,NA,NA,6300-block of Lucille Ave at the City boundary,FALSE,-90.26087700007345,38.70715900018671
8,closed,09/21/18,complete,09/12,google maps,NA,NA,"10100-block of Lookaway Dr, south of Benvenue Dr",FALSE,-90.1959218300583,38.74950679733333
60,closed,09/21/18,complete,05/17,google maps,NA,NA,1900-block of East Hebert St at Knapp St,FALSE,-90.2006979710788,38.65462599300522
105,closed,09/21/18,complete,08/17,google maps,NA,NA,"1500-block of North 17th St, mid-block",FALSE,-90.19934631057639,38.64291090123357
106,closed,09/21/18,complete,08/17,google maps,NA,NA,800-block of North 17th St at Delmar Blvd,FALSE,-90.20274448022421,38.63465438301895
107,closed,09/21/18,complete,08/17,google maps,NA,NA,800-block of North 16th St at Delmar Blvd,FALSE,-90.20128814315572,38.63435236706709
149,closed,09/21/18,complete,05/26/17,in-person,NA,NA,1700-block of Thurman Ave at Lafayette Ave,FALSE,-90.25030209422845,38.61807891471946
175,closed,09/21/18,complete,06/06/17,in-person,NA,NA,"4200-block of Gibson Ave, mid-block",FALSE,-90.25304756595915,38.62787547448443
178,closed,09/21/18,complete,08/17,google maps,NA,NA,4300-block of Laclede Ave at North Boyle Ave,FALSE,-90.25199945553928,38.63821701635598
